user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
5MMH_5_R.bin.19	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	17.1	11	0.98934	Genome has more than 34.2% of markers with multiple hits
5MMH_5_R.bin.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus tropaeoli	GCF_001047135.2	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus tropaeoli	96.93	0.824	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_963580165.1, s__Fructobacillus evanidus, 95.0, 92.66, 0.845; GCF_023218935.1, s__Fructobacillus cardui, 95.0, 94.23, 0.774; GCF_024029775.1, s__Fructobacillus americanaquae, 95.0, 88.85, 0.658	N/A	N/A	N/A	N/A
5MMH_5_R.bin.20	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	23.21	11	0.92469	Genome has more than 43.3% of markers with multiple hits
5MMH_5_R.bin.21	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	12.33	11	0.91406	N/A
5MMH_5_R.bin.22	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
5MMH_5_R.bin.23	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
5MMH_5_R.bin.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	28.12	11	0.92735	N/A
5MMH_5_R.bin.25	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_004359375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis	87.62	0.249	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	20.77	11	0.99322	Genome has more than 28.3% of markers with multiple hits
5MMH_5_R.bin.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	16.44	11	0.98902	N/A
5MMH_5_R.bin.27	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
5MMH_5_R.bin.28	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
5MMH_5_R.bin.29	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Oecophyllibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Oecophyllibacter;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	52.62	11	0.96746	N/A
5MMH_5_R.bin.3	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.5%)
5MMH_5_R.bin.30	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	15.98	11	0.99219	N/A
5MMH_5_R.bin.31	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus tropaeoli	GCF_001047135.2	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus tropaeoli	97.33	0.895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_963580165.1, s__Fructobacillus evanidus, 95.0, 92.63, 0.883; GCF_023218935.1, s__Fructobacillus cardui, 95.0, 94.92, 0.826; GCF_024029775.1, s__Fructobacillus americanaquae, 95.0, 89.52, 0.711	N/A	N/A	N/A	N/A
5MMH_5_R.bin.32	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.6%)
5MMH_5_R.bin.33	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
5MMH_5_R.bin.34	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	13.76	11	0.97557	Genome has more than 26.7% of markers with multiple hits
5MMH_5_R.bin.35	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Bombella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Bombella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	28.91	11	0.98577	N/A
5MMH_5_R.bin.36	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_004359375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis	82.26	0.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	15.43	11	0.98832	N/A
5MMH_5_R.bin.37	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.13	11	0.93857	N/A
5MMH_5_R.bin.38	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
5MMH_5_R.bin.39	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
5MMH_5_R.bin.4	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.0%)
5MMH_5_R.bin.5	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
5MMH_5_R.bin.6	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
5MMH_5_R.bin.7	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	18.49	11	0.91749	N/A
5MMH_5_R.bin.8	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.7%)
5MMH_5_R.bin.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	29.81	11	0.94533	Genome has more than 12.5% of markers with multiple hits
